# CVS $Revision: $ $Author: $ -- Fri Feb 03 00:00:00 2023 -- formatted by stoneageartisans

SOURCELONG:Living Greyhawk Gazetteer	SOURCESHORT:LG	SOURCEDATE:2023-02

CATEGORY=Internal|Default.MOD		BONUS:ABILITYPOOL|Human Ethnicity|1|TYPE=Base|PRERACE:1,Human

###Block: Human Ethnicity
# Ability					Name									Category of Ability			Type										Template							Regional options																																		Sourcepage			Description
Undefined Ethnicity			KEY:Human Ethnicity ~ Undefined			CATEGORY:Internal			TYPE:Human Ethnicity.Oerik Ethnicity		TEMPLATE:Ethnicity ~ Undefined		PREMULT:1,[!PREABILITY:1,CATEGORY=Internal,TYPE.Oerik Ethnicity],[PREABILITY:1,CATEGORY=Internal,Human Ethnicity ~ Undefined]							SOURCEPAGE:p.5			DESC:Your physical features can be any from the whole range of possibilities of all ethnic groups.<br><b>Background:</b> Your ethnicity is undefined. You are a mixture of several enthic types, have a very rare combination of recessive traits, or something else...
Common Region ~ Duchy of Urnst								OUTPUTNAME:Duchy of Urnst							SORTKEY:Urnst, Duchy of								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Duchy of Urnst								SOURCEPAGE:p.124		DESC:Urnst is blessed with ample access to both the Nyr Dyv and the Nesser River, waterways that provide critical passage for the duchy’s legendary mineral wealth and foodstuffs (mostly seasoned sausages and rye). Standing border armies augment the nation’s strength, providing security. Problems from the old Bandit Kingdoms, primitive hill folk, and the odd band of ravaging evil humanoids find swift solutions under the well-trained hooves of Duke Karll’s elite cavalry.<br><b>Typical Alignments:</b> LG, NG*, N<br><b>Favored Deities:</b> Halfling pantheon, Lydia, Pelor, St. Cuthbert
Common Region ~ Valley of the Mage							OUTPUTNAME:Valley of the Mage						SORTKEY:Valley of the Mage							CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Valley of the Mage							SOURCEPAGE:p.126		DESC:The Valley of the Mage lies within the central Barrier Peaks mountain range. The only natural passage through the surrounding mountains lies near the northern end of the valley where unpredictable elven and gnome patrols guard the entrance. They may turn back travelers with a stern warning, or attack outright.<br><b>Typical Alignments:</b> Unknown<br><b>Favored Deities:</b> Unknown
Common Region ~ Veluna										OUTPUTNAME:Veluna									SORTKEY:Veluna										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Veluna										SOURCEPAGE:p.128		DESC:The folk of Veluna represent the best aspects of the common races. Here, people live in harmony, farming and working together to build a common culture founded on the tenets of peace, reason, and serenity. The influence of the Church of Rao is everywhere in Veluna.<br><b>Typical Alignments:</b> LG*, LN, NG<br><b>Favored Deities:</b> Elven pantheon, Fharlanghn, Heironeous, Oeridian agricultural gods, Rao*, St. Cuthbert, Zilchus
Common Region ~ Verbobonc									OUTPUTNAME:Verbobonc								SORTKEY:Verbobonc									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Verbobonc									SOURCEPAGE:p.131		DESC:The people of Verbobonc are friendly, but cautious. Most feel that a stranger could as easily slice your throat as look at you. They fear demons most of all, since such creatures have visited and left their marks. Dozens of evil cults remain too, lurking just below the surface of daily life. The folk of Verbobonc channel their caution into a diligent work ethic. Though independent, the entire viscounty is a bishopric devoted to St. Cuthbert and follows the Archclericy of Veluna. Adventurers - most well-meaning, but unpredictable and occasionally destructive - make up an unusually high percentage of Verbobonc’s armed population.<br><b>Typical Alignments:</b> LG*, LN, N<br><b>Favored Deities:</b> Beory, Ehlonna, Fharlanghn, Obad-Hai, St. Cuthbert*, Zilchus
Common Region ~ Vesve Forest								OUTPUTNAME:Vesve Forest								SORTKEY:Vesve Forest								CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Vesve Forest								SOURCEPAGE:p.142		DESC:Sometimes referred to as the High Forest, the Vesve Forest is the largest hardwood forest in all the Flanaess and is crucial to the balance of power in the north. Iuz refuses to yield his claim to the woodlands, while Furyondy and the Highfolk support those within it who fend off evil forces. Nearly twenty thousand human woodsmen dwell here, their numbers swollen by good-hearted men and women willing to lay down their lives to contain Iuz’s terrible villainy. These humans are supported by sylvan and high elves numbering more than thirteen thousand. About six thousand gnomes and three thousand halflings support this force. Additionally, about eight hundred beastmen inhabit the peaceful northwestern reaches of the forest.<br><b>Typical Alignments:</b> NG, N, CG, CN, CE<br><b>Favored Deities:</b> Ehlonna, Elvish pantheon, Gnomish pantheon, Halfling pantheon, Iuz, some others
Common Region ~ Wolf Nomads									OUTPUTNAME:Wolf Nomads								SORTKEY:Wolf Nomads									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Wolf Nomads								SOURCEPAGE:p.133		DESC:The Wolf Nomads are a stoic nation of barbarians. Though its population is unpredictable as a whole, a Wolf Nomad’s word is good, and many have the watchful trust of caravan leaders traveling to Blackmoor or the Tiger Nomads. They make excellent guides, though they are easily offended when outsiders (often unwittingly) violate one of their taboos. These instances occur so regularly that experienced merchants budget in extra time and money to atone for unexpected transgressions.<br><b>Typical Alignments:</b> N, CN*<br><b>Favored Deities:</b> Geshtai, Istus, Telchur, ancestor worship
Common Region ~ Yeomanry									OUTPUTNAME:Yeomanry									SORTKEY:Yeomanry									CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Yeomanry									SOURCEPAGE:p.134		DESC:One of the few representative democracies in the Flanaess, the Yeomanry is an unusual land. Populated largely by freeman farmers, it also maintains a militaristic tradition. In order to gain a vote in the Yeomanry League, a citizen of majority age must have “carried a spear” (served in the militia or the army). Representatives are chosen from each community and this Council of Common Grosspokesmen meets four times a year to decide national matters.<br><b>Typical Alignments:</b> LG*, LN, NG, CG<br><b>Favored Deities:</b> Allitur, Delleb, Dwarven pantheon, Fharlanghn, Fortubo, Halfling pantheon, Heironeous, Joramy, Kord, Norebo, Phaulkon, Trithereon, Zilchus
Common Region ~ Zeif										OUTPUTNAME:Zeif										SORTKEY:Zeif										CATEGORY:Regional		TYPE:Region.OerikRegion			VISIBLE:YES			TEMPLATE:Common Region ~ Zeif										SOURCEPAGE:p.136		DESC:The Sultanate of Zeif is the largest single nation of the Baklunish. Zeif’s sea trade is paramount, and her port cities are by far the most prosperous in the land. The greatest merchant fleet in the western Flanaess is that of Zeif. These ships travel to all the nations of the gulf and throughout the islands of the Dramidj Ocean.<br><b>Typical Alignments:</b> LN*, N<br><b>Favored Deities:</b> Al’Akbar, Geshtai, Istus, Mouqol, Xan Yae, other Baklunish gods

#

